NDVI,SMI,LST,Distance,TWI,Slope,Class
0.1749298,0.2413966,32.89178049,2044.459473,6.4966435,5.6568542,No
0.1284816,0.2843612,32.26077236,935.0662842,7.0193272,1.4142135,No
0.1724923,0.3054018,31.95175537,1606.360962,5.9796066,3.1622777,No
0.1524449,0.2950318,32.10405627,2924.304932,4.9398856,8.944272,No
0.1268234,0.319013,31.7518516,3125.23877,5.6330328,4.2426405,No
0.1140768,0.2226642,33.16689722,3418.540772,12.4780064,3.1622777,No
0.1324793,0.2880823,32.20612153,935.0662842,7.0193272,8.944272,No
0.1190277,0.3250211,31.66361207,1959.23584,9.6127243,5.0990195,No
0.1326437,0.3463018,31.35106921,2632.644043,6.6727538,3.1622777,No
0.1303349,0.1856971,33.70982175,2550.353516,9.4334841,3.1622777,No
0.2848811,0.3148014,31.81370677,2808.997315,6.7843256,5.6568542,No
0.1187813,0.2396304,32.91771992,1579.586426,5.9796066,5.8309517,No
0.1510945,0.2431808,32.86557604,935.0662842,5.6857133,3.1622777,No
0.1285555,0.250267,32.76150365,1112.152832,5.8275008,11.0453606,No
0.2157753,0.2282777,33.08445335,2482.557861,4.7541041,11.3137083,No
0.2915944,0.3533462,31.24761078,2664.848877,7.0720077,4.2426405,No
0.1579126,0.330339,31.58551095,2880.217529,7.3540425,4,No
0.2260488,0.2338563,33.00252282,2482.557861,6.8432169,4,No
0.1272398,0.1957861,33.56164899,2090.871826,5.3677187,5.8309517,No
0.1415405,0.2955471,32.09648853,438.0984497,6.7843256,9.0553856,No
0.1480793,0.3120557,31.85403209,786.4108276,11.2252436,8,No
0.1313591,0.2261571,33.11559845,1665.030273,11.8841915,5.6568542,No
0.1573803,0.2063659,33.4062655,1377.670898,9.4135933,11.0453606,No
0.0867336,0.1877221,33.68008216,461.7963257,15.2682943,6,No
0.1783608,0.2966939,32.07964537,1776.565918,4.6971316,13.4164076,No
0.1573532,0.3060268,31.94257614,2628.59082,6.466331,5.8309517,No
0.1709431,0.3434708,31.39264714,3535.080322,8.3836622,5.0990195,No
0.1440678,0.2027263,33.45971924,2359.232422,14.9708185,7.6157732,No
0.1568522,0.2234247,33.15572861,1606.360962,17.8246593,5.6568542,No
0.2768309,0.3598379,31.15226929,3097.823975,6.2146082,12.083046,No
0.1359707,0.270673,32.46180675,3225.970459,6.1500697,8,No
0.2103867,0.2787482,32.34320956,2170.933838,6.7101154,7.6157732,No
0.1145743,0.2771811,32.36622456,619.5647583,4.9008269,18.6010761,No
0.1621382,0.2957003,32.09423904,3070.164307,10.5320959,7.6157732,No
0.2054076,0.3111232,31.86772685,2090.871826,5.6330328,4.472136,No
0.1249072,0.3359459,31.50316395,602.1087646,7.4774728,7.2111025,No
0.1880409,0.2724733,32.43536637,2090.871826,9.7461557,7.0710678,No
0.2124671,0.2972086,32.0720863,2770.777832,11.2252436,2,No
0.1600944,0.2681016,32.49957275,2550.353516,5.3677187,7.0710678,No
0.1081524,0.2259411,33.11877036,1632.696533,7.0465879,7.6157732,No
0.1420299,0.3121671,31.85239493,653.0786133,5.6857133,1.4142135,No
0.167084,0.3367192,31.49180677,2805.198975,11.9183903,4,No
